osmid,x,y,geometry
5259515540,-117.7072265,34.106151,POINT (-117.7072265 34.106151)
5259515541,-117.7079306,34.1065456,POINT (-117.7079306 34.1065456)
5259515542,-117.7079307,34.1061574,POINT (-117.7079307 34.1061574)
5259515543,-117.7085113,34.1065518,POINT (-117.7085113 34.1065518)
5259515544,-117.7085154,34.1061636,POINT (-117.7085154 34.1061636)
5259515545,-117.7086454,34.1065532,POINT (-117.7086454 34.1065532)
5259515546,-117.7086521,34.1061654,POINT (-117.7086521 34.1061654)
5259515547,-117.7091752,34.1065588,POINT (-117.7091752 34.1065588)
5259515548,-117.709182,34.1061719,POINT (-117.709182 34.1061719)
5259515549,-117.7092127,34.1067171,POINT (-117.7092127 34.1067171)
5259526672,-117.7110018,34.1066464,POINT (-117.7110018 34.1066464)
5259526677,-117.7124225,34.1062503,POINT (-117.7124225 34.1062503)
5259526678,-117.7124172,34.1065318,POINT (-117.7124172 34.1065318)
5365355987,-117.7104614,34.1060153,POINT (-117.7104614 34.1060153)
5365355989,-117.7104568,34.1061483,POINT (-117.7104568 34.1061483)
5365356001,-117.7105447,34.1060838,POINT (-117.7105447 34.1060838)
5365356006,-117.7106271,34.106084,POINT (-117.7106271 34.106084)
5365356007,-117.7107549,34.1059589,POINT (-117.7107549 34.1059589)
5365356008,-117.7104545,34.1062024,POINT (-117.7104545 34.1062024)
5365356009,-117.7105881,34.1059581,POINT (-117.7105881 34.1059581)
5365356011,-117.7104732,34.1055726,POINT (-117.7104732 34.1055726)
5365356012,-117.7103494,34.1059568,POINT (-117.7103494 34.1059568)
5365356014,-117.7103468,34.1060787,POINT (-117.7103468 34.1060787)
5365356015,-117.7101792,34.1061972,POINT (-117.7101792 34.1061972)
5365356016,-117.7103849,34.1060793,POINT (-117.7103849 34.1060793)
5365357336,-117.7065481,34.106084,POINT (-117.7065481 34.106084)
5365357347,-117.7065079,34.1065913,POINT (-117.7065079 34.1065913)
5365357353,-117.7058803,34.1066379,POINT (-117.7058803 34.1066379)
5365357354,-117.7070752,34.1065979,POINT (-117.7070752 34.1065979)
5365357355,-117.7056826,34.1062473,POINT (-117.7056826 34.1062473)
5365357360,-117.7056362,34.1063831,POINT (-117.7056362 34.1063831)
5365357369,-117.7055665,34.1052088,POINT (-117.7055665 34.1052088)
5366823842,-117.7063775,34.1058236,POINT (-117.7063775 34.1058236)
5366823843,-117.7061707,34.1056787,POINT (-117.7061707 34.1056787)
5368522214,-117.7091763,34.1059485,POINT (-117.7091763 34.1059485)
5368522215,-117.7091816,34.1055627,POINT (-117.7091816 34.1055627)
5368525537,-117.7067529,34.1051464,POINT (-117.7067529 34.1051464)
5707795268,-117.7105855,34.1060839,POINT (-117.7105855 34.1060839)
5707795269,-117.7109466,34.1061394,POINT (-117.7109466 34.1061394)
5707795270,-117.7111062,34.1061405,POINT (-117.7111062 34.1061405)
5707795271,-117.7112734,34.1061416,POINT (-117.7112734 34.1061416)
