access,geometry,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,u,v
,"LINESTRING (-117.7071383 34.10151, -117.7067353 34.1018878, -117.706699 34.101865, -117.7066602 34.1018472, -117.7066152 34.101835, -117.7065663 34.1018306, -117.7065193 34.1018278, -117.7064637 34.101835, -117.706406 34.1018456, -117.7063638 34.1018689, -117.7063155 34.1019061, -117.7063059 34.1019143)",footway,0,,100.19499999999998,,,False,544090157,,,5259487263,5259487279
,"LINESTRING (-117.7048812 34.1048265, -117.704964 34.1048276)",footway,0,,7.624,,,False,556548183,,,5368754213,5368754217
,"LINESTRING (-117.7048812 34.1048265, -117.7048591 34.1048598, -117.7048544 34.1048754, -117.7049134 34.1049429)",footway,0,,15.278,,,False,556548182,,,5368754213,5368754216
,"LINESTRING (-117.7048812 34.1048265, -117.7048799 34.104791, -117.7048691 34.104739, -117.7048536 34.1047085, -117.7048355 34.1046813, -117.7048067 34.1046557, -117.7047926 34.1046363, -117.7047671 34.1046241, -117.7047356 34.1046191)",footway,0,,29.021,,,False,"[556192166, 556548182]",,,5368754213,5365357405
,"LINESTRING (-117.7049134 34.1049429, -117.7049625 34.1049429)",footway,0,,4.521,,,False,543987956,,,5368754216,5366824958
,"LINESTRING (-117.7049134 34.1049429, -117.7047351 34.1049431)",footway,0,,16.416,,,False,543987956,,,5368754216,5366824947
,"LINESTRING (-117.7049134 34.1049429, -117.7048544 34.1048754, -117.7048591 34.1048598, -117.7048812 34.1048265)",footway,0,,15.278,,,False,556548182,,,5368754216,5368754213
,"LINESTRING (-117.704964 34.1048276, -117.7049625 34.1049429)",footway,0,,12.822,,,False,556348978,,,5368754217,5366824958
,"LINESTRING (-117.704964 34.1048276, -117.7048812 34.1048265)",footway,0,,7.624,,,False,556548183,,,5368754217,5368754213
,"LINESTRING (-117.704964 34.1048276, -117.7049659 34.1046828, -117.7049156 34.1046822, -117.7049179 34.1046313, -117.7049156 34.1044681)",footway,0,,44.54600000000001,,,False,"[556348977, 556348978]",,,5368754217,5366824956
,"LINESTRING (-117.7093173 34.1064551, -117.7093173 34.1065603)",service,0,,11.698,,,False,119010939,,,1337872429,5259515539
,"LINESTRING (-117.7061002 34.1020571, -117.7062397 34.1020605, -117.7062437 34.1020149, -117.7062585 34.1019688, -117.7062793 34.1019372, -117.7063059 34.1019143)",footway,0,,30.773,,,False,544090157,,,5259487278,5259487279
,"LINESTRING (-117.7063059 34.1019143, -117.7062793 34.1019372, -117.7062585 34.1019688, -117.7062437 34.1020149, -117.7062397 34.1020605, -117.7061002 34.1020571)",footway,0,,30.773000000000003,,,False,544090157,,,5259487279,5259487278
,"LINESTRING (-117.7063059 34.1019143, -117.7063155 34.1019061, -117.7063638 34.1018689, -117.706406 34.1018456, -117.7064637 34.101835, -117.7065193 34.1018278, -117.7065663 34.1018306, -117.7066152 34.101835, -117.7066602 34.1018472, -117.706699 34.101865, -117.7067353 34.1018878, -117.7071383 34.10151)",footway,0,,100.195,,,False,544090157,,,5259487279,5259487263
,"LINESTRING (-117.7063059 34.1019143, -117.7062914 34.1018883, -117.7062665 34.1018672, -117.7062417 34.1018506, -117.7062169 34.1018367, -117.7061881 34.1018245, -117.7061351 34.1018228, -117.7060942 34.1018217, -117.706062 34.10182, -117.7060292 34.1018117, -117.706001 34.1018006, -117.7059775 34.1017873, -117.7059641 34.1017712, -117.7059541 34.101749, -117.7059527 34.1017206, -117.7059514 34.1016657, -117.7059487 34.1009611, -117.7059313 34.1009361, -117.7059038 34.1009128, -117.7058729 34.1008911, -117.705832 34.1008739, -117.7057911 34.1008595, -117.7057402 34.1008428, -117.7057026 34.1008356, -117.7055466 34.1008341)",footway,0,,169.674,,,False,544090160,,,5259487279,5366823891
,"LINESTRING (-117.7060477 34.1066772, -117.7057836 34.1066725)",service,0,,24.321,,,False,119010944,,parking_aisle,1337872446,4829437159
,"LINESTRING (-117.7060477 34.1066772, -117.7071393 34.1066905)",service,0,,100.513,,,False,119010944,,parking_aisle,1337872446,1337872379
,"LINESTRING (-117.7093031 34.1070825, -117.7093064 34.1069074)",service,0,,19.473,,,False,473296082,,,1337872449,3572361418
,"LINESTRING (-117.7093031 34.1070825, -117.7115609 34.1071243)",primary,0,2,207.924,,East Foothill Boulevard,True,475047745,CA 66,,1337872449,3572361443
,"LINESTRING (-117.7093031 34.1070825, -117.7093114 34.1074253, -117.7093865 34.1079672, -117.709577 34.1085955, -117.7099042 34.1091063, -117.7101322 34.1094283, -117.7108939 34.1099435, -117.7115656 34.1102325)",service,0,,436.84900000000005,,,False,473296082,,,1337872449,2396821762
,"LINESTRING (-117.703988 34.1007989, -117.7055466 34.1008341)",footway,0,,143.562,,,False,544090160,,,5259487303,5366823891
,"LINESTRING (-117.703988 34.1007989, -117.7039766 34.1008289, -117.7039639 34.1008556, -117.7039505 34.1008822, -117.7039317 34.100905, -117.7039089 34.1009128, -117.7038512 34.1009116)",footway,0,,20.548000000000002,,,False,544090160,,,5259487303,5259487309
,"LINESTRING (-117.703988 34.1007989, -117.70398 34.1007745, -117.7039357 34.1006646, -117.7039109 34.1006568, -117.7038505 34.1006562)",footway,0,,23.699,,,False,544090162,,,5259487303,5259487313
,"LINESTRING (-117.7038512 34.1009116, -117.7039089 34.1009128, -117.7039317 34.100905, -117.7039505 34.1008822, -117.7039639 34.1008556, -117.7039766 34.1008289, -117.703988 34.1007989)",footway,0,,20.548,,,False,544090160,,,5259487309,5259487303
,"LINESTRING (-117.7038505 34.1006562, -117.7039109 34.1006568, -117.7039357 34.1006646, -117.70398 34.1007745, -117.703988 34.1007989)",footway,0,,23.698999999999998,,,False,544090162,,,5259487313,5259487303
,"LINESTRING (-117.7087797 34.1006324, -117.7085754 34.1008463)",footway,0,,30.324,,,False,544090165,,,5259487315,5258487954
,"LINESTRING (-117.7087797 34.1006324, -117.7092385 34.1006315)",footway,0,,42.244,,,False,556524183,,,5259487315,5368525573
,"LINESTRING (-117.7087797 34.1006324, -117.7087838 34.1006612, -117.7087516 34.1008767)",footway,0,,27.37,,,False,544090164,,,5259487315,5259487317
,"LINESTRING (-117.7087797 34.1006324, -117.7088844 34.1000094, -117.7088864 34.0999183, -117.708588 34.0999111)",footway,0,,107.56099999999999,,,False,"[544090168, 544090164]",,,5259487315,5259487318
permissive,"LINESTRING (-117.7044418 34.1025229, -117.7037102 34.1025076)",unclassified,0,,67.382,,East 9th Street,True,13441726,,,660557908,6062834783
,"LINESTRING (-117.7044418 34.1025229, -117.7044312 34.102601)",service,0,,8.739,,,False,51758203,,,660557908,660557847
,"LINESTRING (-117.7087516 34.1008767, -117.7087838 34.1006612, -117.7087797 34.1006324)",footway,0,,27.37,,,False,544090164,,,5259487317,5259487315
,"LINESTRING (-117.708588 34.0999111, -117.7085754 34.1008463)",footway,0,,103.996,,,False,544090167,,,5259487318,5258487954
,"LINESTRING (-117.708588 34.0999111, -117.7084532 34.0999116)",footway,0,,12.412,,,False,544090168,,,5259487318,5259487319
,"LINESTRING (-117.708588 34.0999111, -117.7088864 34.0999183, -117.7088844 34.1000094, -117.7087797 34.1006324)",footway,0,,107.56099999999999,,,False,"[544090168, 544090164]",,,5259487318,5259487315
,"LINESTRING (-117.7084532 34.0999116, -117.708588 34.0999111)",footway,0,,12.412,,,False,544090168,,,5259487319,5259487318
,"LINESTRING (-117.7110773 34.0961335, -117.7111066 34.0957254)",residential,0,,45.459,25 mph,Columbia Avenue,False,146154918,,,582817882,1594215659
,"LINESTRING (-117.7110773 34.0961335, -117.710013 34.09614, -117.7099296 34.0961296, -117.7098672 34.0961087, -117.7098012 34.0960671, -117.7097474 34.0960202, -117.709711 34.0959578, -117.7096901 34.0958953, -117.7096035 34.0949564, -117.709617 34.0947719)",residential,0,,266.973,,Amherst Avenue,False,45764534,,,582817882,123480327
,"LINESTRING (-117.7110773 34.0961335, -117.7110846 34.0962441, -117.7110891 34.0966474)",residential,0,,57.164,25 mph,Columbia Avenue,False,"[146154918, 146154919]",,,582817882,390038554
,"LINESTRING (-117.7139573 34.1016364, -117.7131772 34.1016404)",residential,0,,71.829,,8th Street,False,13389694,,,5370843227,123250024
,"LINESTRING (-117.7139573 34.1016364, -117.7149283 34.1016339)",residential,0,,89.405,,8th Street,False,13389694,,,5370843227,122960740
,"LINESTRING (-117.7139573 34.1016364, -117.7139604 34.1018554)",service,0,,24.353,,,False,556816721,,parking_aisle,5370843227,5370843228
,"LINESTRING (-117.7139604 34.1018554, -117.7139573 34.1016364)",service,0,,24.353,,,False,556816721,,parking_aisle,5370843228,5370843227
,"LINESTRING (-117.7139604 34.1018554, -117.7139628 34.1020264)",service,0,,19.016,,,False,556816721,,parking_aisle,5370843228,5370843231
,"LINESTRING (-117.7139604 34.1018554, -117.7146335 34.1018565, -117.7146308 34.1020253, -117.7139628 34.1020264)",service,1,,142.252,,,False,556816722,,parking_aisle,5370843228,5370843231
,"LINESTRING (-117.7139628 34.1020264, -117.7139604 34.1018554)",service,0,,19.016,,,False,556816721,,parking_aisle,5370843231,5370843228
,"LINESTRING (-117.7139628 34.1020264, -117.7146308 34.1020253, -117.7146335 34.1018565, -117.7139604 34.1018554)",service,1,,142.252,,,False,556816722,,parking_aisle,5370843231,5370843228
,"LINESTRING (-117.7139628 34.1020264, -117.7139711 34.1026162, -117.7131832 34.1026172)","['service', 'residential']",0,,138.132,,9th Street,False,"[556816721, 13441718]",,parking_aisle,5370843231,123428698
,"LINESTRING (-117.7149324 34.1024384, -117.7149333 34.1026197)",tertiary,0,,20.16,30 mph,College Avenue,False,145464739,,,5370843232,122960742
,"LINESTRING (-117.7149324 34.1024384, -117.7149283 34.1016339)",tertiary,0,,89.457,30 mph,College Avenue,False,145464739,,,5370843232,122960740
,"LINESTRING (-117.7149324 34.1024384, -117.7148159 34.1024395, -117.7147555 34.1024528, -117.7147032 34.1024862, -117.7146764 34.1025217, -117.7146697 34.1025672, -117.7146697 34.1026239, -117.7146697 34.1026638, -117.714675 34.1027105, -117.7146952 34.1027493, -117.714722 34.1027693, -117.7147676 34.1027843, -117.7148078 34.1027849, -117.7149326 34.1027849)",service,0,,76.004,,,False,556816723,,,5370843232,5370843244
private,"LINESTRING (-117.7092997 34.1029743, -117.7093041 34.1031631)",service,0,,20.998,,Amherst Avenue,False,13433612,,,3835445345,5366824647
private,"LINESTRING (-117.7092997 34.1029743, -117.7093017 34.1026019, -117.7114799 34.1026228)",service,0,,241.977,,"['East 9th Street', 'Amherst Avenue']",False,"[13433612, 13441725]",,,3835445345,123586950
,"LINESTRING (-117.7092997 34.1029743, -117.709206 34.1029669, -117.7090886 34.1029632, -117.7089395 34.1029669, -117.708682 34.1029782, -117.7084878 34.1029744, -117.7083297 34.1029782, -117.7082213 34.1029782, -117.7081161 34.1029855)",path,0,,109.109,,Quotation Walk,False,380203392,,,3835445345,3835445353
,"LINESTRING (-117.7081161 34.1029855, -117.7081072 34.103225)",service,0,,26.644,,,False,51758208,,,3835445353,660558174
,"LINESTRING (-117.7081161 34.1029855, -117.708128 34.1026667, -117.7081306 34.1025613)",service,0,,47.188,,,False,51758208,,,3835445353,660558177
,"LINESTRING (-117.7081161 34.1029855, -117.7082213 34.1029782, -117.7083297 34.1029782, -117.7084878 34.1029744, -117.708682 34.1029782, -117.7089395 34.1029669, -117.7090886 34.1029632, -117.709206 34.1029669, -117.7092997 34.1029743)",path,0,,109.10900000000001,,Quotation Walk,False,380203392,,,3835445353,3835445345
,"LINESTRING (-117.7149326 34.1027849, -117.7149301 34.1033693)",tertiary,0,,64.983,30 mph,College Avenue,False,145464739,,,5370843244,122612973
,"LINESTRING (-117.7149326 34.1027849, -117.7149333 34.1026197)",tertiary,0,,18.37,30 mph,College Avenue,False,145464739,,,5370843244,122960742
,"LINESTRING (-117.7149326 34.1027849, -117.7148078 34.1027849, -117.7147676 34.1027843, -117.714722 34.1027693, -117.7146952 34.1027493, -117.714675 34.1027105, -117.7146697 34.1026638, -117.7146697 34.1026239, -117.7146697 34.1025672, -117.7146764 34.1025217, -117.7147032 34.1024862, -117.7147555 34.1024528, -117.7148159 34.1024395, -117.7149324 34.1024384)",service,0,,76.004,,,False,556816723,,,5370843244,5370843232
,"LINESTRING (-117.7156776 34.0976267, -117.7164046 34.0976295)",residential,0,,66.942,,4th Street,False,13410516,,,123396206,123396209
,"LINESTRING (-117.7156776 34.0976267, -117.7149214 34.0976219)",residential,0,,69.632,,4th Street,False,13410516,,,123396206,122620587
,"LINESTRING (-117.7156776 34.0976267, -117.7156721 34.0966477)",residential,0,,108.861,,Harvard Place,False,145464740,,,123396206,123442009
,"LINESTRING (-117.7131906 34.1040766, -117.7131915 34.104242)",residential,0,,18.392,,Dartmouth Avenue,False,34036209,,,5370843246,5370843249
,"LINESTRING (-117.7131906 34.1040766, -117.7124088 34.1040854, -117.7124115 34.104242, -117.7131915 34.104242)",service,1,,161.219,,,True,556816724,,parking_aisle,5370843246,5370843249
,"LINESTRING (-117.7131906 34.1040766, -117.713187 34.1033603)",residential,0,,79.65,,Dartmouth Avenue,False,34036209,,,5370843246,122612975
,"LINESTRING (-117.7164046 34.0976295, -117.7156776 34.0976267)",residential,0,,66.942,,4th Street,False,13410516,,,123396209,123396206
,"LINESTRING (-117.7164046 34.0976295, -117.716408 34.0984901, -117.7165351 34.0986414)",residential,0,,116.189,,Harvard Avenue,False,13468362,,,123396209,123543185
,"LINESTRING (-117.7121301 34.1043997, -117.7116406 34.1043978)",residential,0,,45.069,,11th Street,False,145483656,,,5370843250,5370843253
,"LINESTRING (-117.7121301 34.1043997, -117.7121321 34.1043027, -117.7116406 34.1042994, -117.7116406 34.1043978)",service,1,,66.98400000000001,,,True,556816725,,parking_aisle,5370843250,5370843253
,"LINESTRING (-117.7121301 34.1043997, -117.7131923 34.1044037)",residential,0,,97.799,,11th Street,False,145483656,,,5370843250,122989492
,"LINESTRING (-117.7131915 34.104242, -117.7131923 34.1044037)",residential,0,,17.98,,Dartmouth Avenue,False,34036209,,,5370843249,122989492
,"LINESTRING (-117.7131915 34.104242, -117.7131906 34.1040766)",residential,0,,18.392,,Dartmouth Avenue,False,34036209,,,5370843249,5370843246
,"LINESTRING (-117.7116406 34.1043978, -117.711504 34.1043973)",residential,0,,12.577,,11th Street,False,145483656,,,5370843253,122989494
,"LINESTRING (-117.7116406 34.1043978, -117.7121301 34.1043997)",residential,0,,45.069,,11th Street,False,145483656,,,5370843253,5370843250
,"LINESTRING (-117.7076084 34.102124, -117.7073785 34.1021212)",footway,0,,21.17,,,False,543844576,,,5258487941,5257253441
,"LINESTRING (-117.7076084 34.102124, -117.7076098 34.1020276)",footway,0,,10.72,,,False,543985081,,,5258487941,5258487942
,"LINESTRING (-117.7076084 34.102124, -117.7076295 34.1021242, -117.7076282 34.1021519, -117.7079339 34.1021544)",footway,0,,33.173,,,False,543844576,,,5258487941,5257253445
,"LINESTRING (-117.7076098 34.1020276, -117.7076084 34.102124)",footway,0,,10.72,,,False,543985081,,,5258487942,5258487941
,"LINESTRING (-117.7076098 34.1020276, -117.7076313 34.1020278, -117.7076313 34.1020056, -117.7079353 34.1020087)",footway,0,,32.442,,,False,543985080,,,5258487942,5257253444
,"LINESTRING (-117.7076098 34.1020276, -117.7074086 34.1020256, -117.7074086 34.1020478, -117.707379 34.1020479)",footway,0,,23.721000000000004,,,False,543985080,,,5258487942,5366824624
,"LINESTRING (-117.7071686 34.1020488, -117.707379 34.1020479)",footway,0,,19.373,,,False,543985080,,,5258487943,5366824624
,"LINESTRING (-117.7071686 34.1020488, -117.7071605 34.1020364)",footway,0,,1.568,,,False,543985080,,,5258487943,5366824609
,"LINESTRING (-117.7071686 34.1020488, -117.7071672 34.1021017)",footway,0,,5.884,,,False,543985083,,,5258487943,5257253443
,"LINESTRING (-117.7071375 34.1017789, -117.7071383 34.10151)",footway,0,,29.9,,,False,34036042,,,5258487944,5259487263
,"LINESTRING (-117.7071375 34.1017789, -117.7071349 34.1019971, -117.7071605 34.1020364)",footway,0,,29.229,,,False,"[543985080, 34036042]",,,5258487944,5366824609
,"LINESTRING (-117.7071375 34.1017789, -117.7072651 34.1017757, -117.7072651 34.1018568)",footway,0,,20.772,,,False,543985087,,,5258487944,5258487946
,"LINESTRING (-117.7072651 34.1018568, -117.7072651 34.1017757, -117.7071375 34.1017789)",footway,0,,20.772,,,False,543985087,,,5258487946,5258487944
,"LINESTRING (-117.708051 34.1015847, -117.7080667 34.1014556, -117.7080724 34.1013889, -117.7080743 34.1013096, -117.7080781 34.1009601)",footway,0,,69.547,,,False,556348895,,,5258487947,5366823918
,"LINESTRING (-117.7080819 34.1008463, -117.7080781 34.1009601)",footway,0,,12.659,,,False,556348895,,,5258487953,5366823918
,"LINESTRING (-117.7080819 34.1008463, -117.7080809 34.1006005)",footway,0,,27.332,,,False,556348895,,,5258487953,5366823917
,"LINESTRING (-117.7080819 34.1008463, -117.7085754 34.1008463)",footway,0,,45.439,,,False,556348896,,,5258487953,5258487954
,"LINESTRING (-117.7085754 34.1008463, -117.7087797 34.1006324)",footway,0,,30.324,,,False,544090165,,,5258487954,5259487315
,"LINESTRING (-117.7085754 34.1008463, -117.708588 34.0999111)",footway,0,,103.996,,,False,544090167,,,5258487954,5259487318
,"LINESTRING (-117.7085754 34.1008463, -117.7080819 34.1008463)",footway,0,,45.439,,,False,556348896,,,5258487954,5258487953
,"LINESTRING (-117.7085754 34.1008463, -117.7085741 34.1009973, -117.7085888 34.1010406, -117.7086156 34.1010795, -117.7086357 34.1011217, -117.7086585 34.1011761)",footway,0,,38.219,,,False,556348896,,,5258487954,5258487959
,"LINESTRING (-117.7086585 34.1011761, -117.7086626 34.1012294, -117.7086612 34.1013005, -117.7086585 34.1013726, -117.7086572 34.1014304, -117.7085754 34.1014293)",footway,0,,35.828,,,False,556348896,,,5258487959,5258487964
,"LINESTRING (-117.7086585 34.1011761, -117.7086357 34.1011217, -117.7086156 34.1010795, -117.7085888 34.1010406, -117.7085741 34.1009973, -117.7085754 34.1008463)",footway,0,,38.219,,,False,556348896,,,5258487959,5258487954
,"LINESTRING (-117.7086585 34.1011761, -117.708744 34.1011511, -117.7088477 34.101138, -117.7089616 34.1011343, -117.7090394 34.1011389, -117.7091387 34.1011539)",footway,0,,44.979,,,False,556348923,,,5258487959,5366824597
,"LINESTRING (-117.7085754 34.1014293, -117.7085736 34.1015189)",footway,0,,9.964,,,False,556348896,,,5258487964,5257252602
,"LINESTRING (-117.7085754 34.1014293, -117.7086572 34.1014304, -117.7086585 34.1013726, -117.7086612 34.1013005, -117.7086626 34.1012294, -117.7086585 34.1011761)",footway,0,,35.828,,,False,556348896,,,5258487964,5258487959
,"LINESTRING (-117.7085754 34.1014293, -117.7085764 34.1013854, -117.7085091 34.1013893, -117.7084626 34.1013783, -117.708418 34.1013736, -117.7080662 34.1013728)",footway,0,,52.07900000000001,,,False,556348925,,,5258487964,5366824605
,"LINESTRING (-117.7053419 34.1044689, -117.7053115 34.1044688)",footway,0,,2.799,,,False,544091164,,,5257162932,5258514298
,"LINESTRING (-117.7053419 34.1044689, -117.7053171 34.1044395, -117.7053187 34.1043407)",footway,0,,14.975,,,False,543834814,,,5257162932,5257162936
,"LINESTRING (-117.7053419 34.1044689, -117.7053775 34.1045006, -117.7054056 34.1045406, -117.7054378 34.1045861, -117.7054579 34.1046305, -117.705485 34.1046747)",footway,0,,26.608,,,False,543834814,,,5257162932,4602674428
,"LINESTRING (-117.7053279 34.1037699, -117.7056654 34.1037712)",footway,0,,31.075,,,False,543834814,,,5257162934,5258514319
,"LINESTRING (-117.7053279 34.1037699, -117.7053275 34.1037919)",footway,0,,2.447,,,False,543834814,,,5257162934,5258514912
