highway,osmid,x,y,geometry,elevation
,5326481411,-117.70375849999999,34.1049333,POINT (-117.7037585 34.1049333),398.6309204101562
,5259487244,-117.7105098,34.103815600000004,POINT (-117.7105098 34.1038156),383.7014465332031
,5259487245,-117.7105138,34.103310799999996,POINT (-117.7105138 34.1033108),382.9486999511719
,5259487246,-117.71066100000002,34.1038866,POINT (-117.710661 34.1038866),384.9035949707031
,5259487247,-117.70615459999999,34.1033975,POINT (-117.7061546 34.1033975),388.741943359375
,5259487249,-117.7057943,34.1033941,POINT (-117.7057943 34.1033941),388.3785400390625
,660557847,-117.70443119999999,34.102601,POINT (-117.7044312 34.102601),386.6998291015625
,5259487258,-117.7058622,34.1033948,POINT (-117.7058622 34.1033948),388.4949340820312
,5259487259,-117.70524679999998,34.10304179999999,POINT (-117.7052468 34.1030418),387.9042663574219
,5259487260,-117.70509640000002,34.1029912,POINT (-117.7050964 34.1029912),386.6788635253906
,5259487261,-117.70508970000002,34.102624,POINT (-117.7050897 34.102624),386.22802734375
,5259487262,-117.7045057,34.102990500000004,POINT (-117.7045057 34.1029905),387.65380859375
,5259487263,-117.7071383,34.10151,POINT (-117.7071383 34.10151),379.5246276855469
,5368754213,-117.70488119999999,34.1048265,POINT (-117.7048812 34.1048265),394.3838195800781
,5368754216,-117.70491340000001,34.1049429,POINT (-117.7049134 34.1049429),394.8195190429688
,5368754217,-117.70496399999999,34.1048276,POINT (-117.704964 34.1048276),394.7544555664062
,1337872429,-117.7093173,34.106455100000005,POINT (-117.7093173 34.1064551),393.5857543945312
,5259487278,-117.70610020000001,34.102057099999996,POINT (-117.7061002 34.1020571),384.1483154296875
,5259487279,-117.70630590000002,34.1019143,POINT (-117.7063059 34.1019143),381.32421875
,1337872446,-117.7060477,34.10667720000001,POINT (-117.7060477 34.1066772),399.4407348632812
,1337872449,-117.7093031,34.107082500000004,POINT (-117.7093031 34.1070825),396.3721008300781
,5259487303,-117.703988,34.1007989,POINT (-117.703988 34.1007989),379.5201110839844
,5259487309,-117.70385120000002,34.1009116,POINT (-117.7038512 34.1009116),380.3484497070312
,5259487313,-117.70385049999999,34.1006562,POINT (-117.7038505 34.1006562),379.5058288574219
,5259487315,-117.70877970000001,34.100632399999995,POINT (-117.7087797 34.1006324),375.8154907226562
,660557908,-117.70444180000001,34.1025229,POINT (-117.7044418 34.1025229),386.5155334472656
,5259487317,-117.70875159999999,34.10087670000001,POINT (-117.7087516 34.1008767),376.8465881347656
,5259487318,-117.70858799999999,34.0999111,POINT (-117.708588 34.0999111),373.8338317871094
,5259487319,-117.70845320000001,34.099911600000006,POINT (-117.7084532 34.0999116),374.0057373046875
,582817882,-117.7110773,34.0961335,POINT (-117.7110773 34.0961335),360.338134765625
,5370843227,-117.71395729999999,34.1016364,POINT (-117.7139573 34.1016364),374.4061584472656
,5370843228,-117.7139604,34.1018554,POINT (-117.7139604 34.1018554),375.0862731933594
,5370843231,-117.7139628,34.1020264,POINT (-117.7139628 34.1020264),375.514404296875
,5370843232,-117.71493240000001,34.1024384,POINT (-117.7149324 34.1024384),376.2118835449219
,3835445345,-117.7092997,34.10297429999999,POINT (-117.7092997 34.1029743),381.6374206542969
,3835445353,-117.70811609999998,34.102985499999996,POINT (-117.7081161 34.1029855),384.0878295898438
,5370843244,-117.71493259999998,34.102784899999996,POINT (-117.7149326 34.1027849),377.3758850097656
,123396206,-117.71567759999998,34.097626700000006,POINT (-117.7156776 34.0976267),361.37158203125
,5370843246,-117.71319059999999,34.1040766,POINT (-117.7131906 34.1040766),382.3910217285156
stop,123396209,-117.71640459999999,34.0976295,POINT (-117.7164046 34.0976295),360.7938232421875
,5370843250,-117.7121301,34.1043997,POINT (-117.7121301 34.1043997),384.3092346191406
,5370843249,-117.71319150000001,34.104242,POINT (-117.7131915 34.104242),382.8093566894531
,5370843253,-117.7116406,34.104397799999994,POINT (-117.7116406 34.1043978),384.9880676269531
,5258487941,-117.7076084,34.102123999999996,POINT (-117.7076084 34.102124),382.1806945800781
,5258487942,-117.7076098,34.1020276,POINT (-117.7076098 34.1020276),381.8309326171875
,5258487943,-117.7071686,34.1020488,POINT (-117.7071686 34.1020488),382.6291198730469
,5258487944,-117.7071375,34.1017789,POINT (-117.7071375 34.1017789),382.0670776367188
,5258487946,-117.70726509999999,34.1018568,POINT (-117.7072651 34.1018568),382.1393737792969
,5258487947,-117.708051,34.101584700000004,POINT (-117.708051 34.1015847),379.6979064941406
,5258487953,-117.70808190000001,34.1008463,POINT (-117.7080819 34.1008463),378.8518371582031
,5258487954,-117.7085754,34.1008463,POINT (-117.7085754 34.1008463),376.7481994628906
,5258487959,-117.7086585,34.101176099999996,POINT (-117.7086585 34.1011761),377.9428100585938
,5258487964,-117.7085754,34.10142929999999,POINT (-117.7085754 34.1014293),378.7266235351562
,5257162932,-117.7053419,34.1044689,POINT (-117.7053419 34.1044689),391.7240905761719
,5257162934,-117.70532790000001,34.103769899999996,POINT (-117.7053279 34.1037699),390.1317443847656
