access,area,geometry,highway,key,landuse,lanes,length,name,oneway,osmid,ref,service,u,v
,,"LINESTRING (-117.7085851 34.1059448, -117.7085922 34.1055576)",footway,0,,,43.06,,False,215361429,,,2247762382,5257160047
,,"LINESTRING (-117.7085851 34.1059448, -117.7085847 34.1061645)",footway,0,,,24.43,,False,215361429,,,2247762382,2247762398
,,"LINESTRING (-117.7088008 34.1059475, -117.7085851 34.1059448)",footway,0,,,19.862,,False,150583713,,,2247762384,2247762382
,,"LINESTRING (-117.7088008 34.1059475, -117.7090525 34.1059483)",footway,0,,,23.174,,False,150583713,,,2247762384,2247762386
,,"LINESTRING (-117.7088008 34.1059475, -117.7087938 34.1061671)",footway,0,,,24.427,,False,215361424,,,2247762384,2247762400
,,"LINESTRING (-117.7090525 34.1059483, -117.7088008 34.1059475)",footway,0,,,23.174,,False,150583713,,,2247762386,2247762384
,,"LINESTRING (-117.7090525 34.1059483, -117.7091626 34.1059489)",footway,0,,,10.137,,False,150583713,,,2247762386,2247762388
,,"LINESTRING (-117.7090525 34.1059483, -117.7090477 34.1061703)",footway,0,,,24.689,,False,215361423,,,2247762386,2247762402
,,"LINESTRING (-117.7091626 34.1059489, -117.7090525 34.1059483)",footway,0,,,10.137,,False,150583713,,,2247762388,2247762386
,,"LINESTRING (-117.7091626 34.1059489, -117.7091763 34.1059485)",footway,0,,,1.262,,False,150583713,,,2247762388,5368522214
,,"LINESTRING (-117.7091626 34.1059489, -117.709157 34.1061716)",footway,0,,,24.769,,False,215361426,,,2247762388,2247762404
,,"LINESTRING (-117.709414 34.1059417, -117.7091763 34.1059485)",footway,0,,,21.898,,False,150583713,,,2247762390,5368522214
,,"LINESTRING (-117.709414 34.1059417, -117.7098177 34.1059521)",footway,0,,,37.187,,False,150583713,,,2247762390,2247762392
,,"LINESTRING (-117.709414 34.1059417, -117.7097223 34.1061906)",footway,0,,,39.645,,False,215361425,,,2247762390,2247762406
,,"LINESTRING (-117.7098177 34.1059521, -117.709414 34.1059417)",footway,0,,,37.187,,False,150583713,,,2247762392,2247762390
,,"LINESTRING (-117.7098177 34.1059521, -117.7102209 34.1059562)",footway,0,,,37.125,,False,150583713,,,2247762392,2247762394
,,"LINESTRING (-117.7098177 34.1059521, -117.7098082 34.1061941)",footway,0,,,26.923,,False,215361418,,,2247762392,2247762408
,,"LINESTRING (-117.7102209 34.1059562, -117.7098177 34.1059521)",footway,0,,,37.125,,False,150583713,,,2247762394,2247762392
,,"LINESTRING (-117.7102209 34.1059562, -117.7103494 34.1059568)",footway,0,,,11.831,,False,150583713,,,2247762394,5365356012
,,"LINESTRING (-117.7102209 34.1059562, -117.7099188 34.1061923)",footway,0,,,38.247,,False,215361419,,,2247762394,2247762410
,,"LINESTRING (-117.708364 34.1061618, -117.7083847 34.1061621, -117.7085154 34.1061636)",footway,0,,,13.941,,False,150583713,,,2247762396,5259515544
,,"LINESTRING (-117.708364 34.1061618, -117.7082525 34.1061604, -117.7081328 34.1061593, -117.7081082 34.1061591, -117.7079307 34.1061574)",footway,0,,,39.896,,False,150583713,,,2247762396,5259515542
,,"LINESTRING (-117.708364 34.1061618, -117.7083643 34.105956, -117.7083643 34.1059431)",footway,0,,,24.318,,False,215361420,,,2247762396,2247762380
,,"LINESTRING (-117.7085847 34.1061645, -117.7085851 34.1059448)",footway,0,,,24.43,,False,215361429,,,2247762398,2247762382
,,"LINESTRING (-117.7085847 34.1061645, -117.7086066 34.1061648, -117.7086521 34.1061654)",footway,0,,,6.207000000000001,,False,150583713,,,2247762398,5259515546
,,"LINESTRING (-117.7085847 34.1061645, -117.7085626 34.1061642, -117.7085154 34.1061636)",footway,0,,,6.381,,False,150583713,,,2247762398,5259515544
,,"LINESTRING (-117.7087938 34.1061671, -117.7088008 34.1059475)",footway,0,,,24.427,,False,215361424,,,2247762400,2247762384
,,"LINESTRING (-117.7087938 34.1061671, -117.7088107 34.1061673, -117.709034 34.1061701, -117.7090477 34.1061703)",footway,0,,,23.379,,False,150583713,,,2247762400,2247762402
,,"LINESTRING (-117.7087938 34.1061671, -117.708786 34.106167, -117.7086521 34.1061654)",footway,0,,,13.047,,False,150583713,,,2247762400,5259515546
,,"LINESTRING (-117.7090477 34.1061703, -117.709157 34.1061716)",footway,0,,,10.064,,False,150583713,,,2247762402,2247762404
,,"LINESTRING (-117.7090477 34.1061703, -117.7090525 34.1059483)",footway,0,,,24.689,,False,215361423,,,2247762402,2247762386
,,"LINESTRING (-117.7090477 34.1061703, -117.709034 34.1061701, -117.7088107 34.1061673, -117.7087938 34.1061671)",footway,0,,,23.379,,False,150583713,,,2247762402,2247762400
,,"LINESTRING (-117.709157 34.1061716, -117.709182 34.1061719)",footway,0,,,2.302,,False,150583713,,,2247762404,5259515548
,,"LINESTRING (-117.709157 34.1061716, -117.7090477 34.1061703)",footway,0,,,10.064,,False,150583713,,,2247762404,2247762402
,,"LINESTRING (-117.709157 34.1061716, -117.7091626 34.1059489)",footway,0,,,24.769,,False,215361426,,,2247762404,2247762388
,,"LINESTRING (-117.7097223 34.1061906, -117.7098082 34.1061941)",footway,0,,,7.918,,False,150583713,,,2247762406,2247762408
,,"LINESTRING (-117.7097223 34.1061906, -117.709414 34.1059417)",footway,0,,,39.645,,False,215361425,,,2247762406,2247762390
,,"LINESTRING (-117.7097223 34.1061906, -117.7096685 34.106178, -117.709182 34.1061719)",footway,0,,,49.94499999999999,,False,150583713,,,2247762406,5259515548
,,"LINESTRING (-117.7098082 34.1061941, -117.7099188 34.1061923)",footway,0,,,10.185,,False,150583713,,,2247762408,2247762410
,,"LINESTRING (-117.7098082 34.1061941, -117.7097223 34.1061906)",footway,0,,,7.918,,False,150583713,,,2247762408,2247762406
,,"LINESTRING (-117.7098082 34.1061941, -117.7098177 34.1059521)",footway,0,,,26.923,,False,215361418,,,2247762408,2247762392
,,"LINESTRING (-117.7099188 34.1061923, -117.7098082 34.1061941)",footway,0,,,10.185,,False,150583713,,,2247762410,2247762408
,,"LINESTRING (-117.7099188 34.1061923, -117.7102209 34.1059562)",footway,0,,,38.247,,False,215361419,,,2247762410,2247762394
,,"LINESTRING (-117.7099188 34.1061923, -117.7101678 34.106197, -117.7101792 34.1061972)",footway,0,,,23.981,,False,150583713,,,2247762410,5365356015
,,"LINESTRING (-117.7124225 34.1062503, -117.7125747 34.1062522)",footway,0,,,14.015,,False,543816182,,,5259526677,5257009759
,,"LINESTRING (-117.7124225 34.1062503, -117.7116712 34.1062407)",footway,0,,,69.18,,False,543816182,,,5259526677,5257160094
,,"LINESTRING (-117.7124225 34.1062503, -117.7124172 34.1065318)",footway,0,,,31.305,,False,544093991,,,5259526677,5259526678
,,"LINESTRING (-117.7124172 34.1065318, -117.7124225 34.1062503)",footway,0,,,31.305,,False,544093991,,,5259526678,5259526677
,,"LINESTRING (-117.7052918 34.1048373, -117.7052382 34.1048368)",footway,0,,,4.935,,False,543987961,,,5258514317,5258514318
,,"LINESTRING (-117.7052918 34.1048373, -117.7052926 34.1048262, -117.7053019 34.1048194, -117.7053154 34.1048157)",footway,0,,,3.6870000000000003,,False,543987960,,,5258514317,5258514305
,,"LINESTRING (-117.7052918 34.1048373, -117.7052912 34.1048451, -117.7052986 34.104859, -117.7053194 34.1048651)",footway,0,,,4.59,,False,543987960,,,5258514317,5258514310
,,"LINESTRING (-117.7052382 34.1048368, -117.7052918 34.1048373)",footway,0,,,4.935,,False,543987961,,,5258514318,5258514317
,,"LINESTRING (-117.7056654 34.1037712, -117.7058806 34.1037721)",footway,0,,,19.814,,False,543834814,,,5258514319,5258514869
,,"LINESTRING (-117.7056654 34.1037712, -117.7053279 34.1037699)",footway,0,,,31.075,,False,543834814,,,5258514319,5257162934
,,"LINESTRING (-117.7056654 34.1037712, -117.7056654 34.1038357)",footway,0,,,7.172,,False,543987962,,,5258514319,5258514320
,,"LINESTRING (-117.7056654 34.1037712, -117.705709 34.1037341, -117.7057392 34.1037152, -117.7057593 34.1036891, -117.7057901 34.1036603, -117.705833 34.1036592)",footway,0,,,20.912999999999997,,False,543987971,,,5258514319,5258514865
,,"LINESTRING (-117.7056654 34.1038357, -117.7056654 34.1037712)",footway,0,,,7.172,,False,543987962,,,5258514320,5258514319
,,"LINESTRING (-117.7056654 34.1038357, -117.7056426 34.1038596, -117.7056124 34.1038918, -117.7055863 34.1039134, -117.7055527 34.1039318, -117.7055266 34.1039562, -117.7055293 34.103979, -117.7055326 34.1040206, -117.7055418 34.104072, -117.7055458 34.1041025)",footway,0,,,35.022999999999996,,False,"[543834817, 543987962]",,,5258514320,5257162950
,,"LINESTRING (-117.7056654 34.1038357, -117.7057056 34.1038574, -117.7057298 34.1038735, -117.7057358 34.1038935, -117.7057324 34.1039162, -117.7057204 34.1039506, -117.705721 34.1039884, -117.7057371 34.1040245, -117.7057687 34.10407, -117.7057982 34.1040917, -117.7058156 34.1041167, -117.7058176 34.1041461, -117.7057903 34.104205)",footway,0,,,47.540000000000006,,False,543987963,,,5258514320,5257162943
,,"LINESTRING (-117.7093628 34.0996617, -117.70936303313 34.09973407501)",service,0,,,8.048,Amherst Avenue,False,13433610,,,123568747,-39606
,,"LINESTRING (-117.7056423 34.1064767, -117.7046688 34.106458, -117.7046579 34.1066526, -117.7057836 34.1066725)",service,0,,,214.981,,False,"[119010944, 486244868]",,parking_aisle,4789174917,4829437159
private,,"LINESTRING (-117.7093367 34.1046379, -117.7093148 34.1053079)",service,0,,,74.528,Amherst Avenue,False,13433611,,,123568800,390043989
private,,"LINESTRING (-117.7093168 34.1037155, -117.7093076 34.1033153)",service,0,,,44.508,Amherst Avenue,False,13433612,,,123568815,5366824640
,,"LINESTRING (-117.711149 34.0975615, -117.711203 34.0976092)",residential,0,,,7.27,4th Street,False,145483649,,,390038256,390038259
,,"LINESTRING (-117.711203 34.0976092, -117.711149 34.0975615)",residential,0,,,7.27,4th Street,False,145483649,,,390038259,390038256
,,"LINESTRING (-117.711203 34.0976092, -117.71114033973 34.09761338178)",service,0,,,5.788,,False,467021728,,driveway,390038259,-39382
