highway,osmid,x,y,geometry
,-39566,-117.71117759842,34.09882790274,POINT (-117.71117759842 34.09882790274)
,5257160046,-117.7079293,34.1055488,POINT (-117.7079293 34.1055488)
,-39564,-117.71123077241,34.09882895052,POINT (-117.71123077241 34.09882895052)
,5257160045,-117.7103362,34.1067206,POINT (-117.7103362 34.1067206)
,-39562,-117.71128964947,34.09886009299,POINT (-117.71128964947 34.09886009299)
,5257160048,-117.7092464,34.1055633,POINT (-117.7092464 34.1055633)
,-39560,-117.71123026503,34.09886450878,POINT (-117.71123026503 34.09886450878)
,5257160049,-117.7114995,34.1059302,POINT (-117.7114995 34.1059302)
,-39558,-117.71128140054,34.0986574005,POINT (-117.71128140054 34.0986574005)
,5257160050,-117.7115156,34.105611,POINT (-117.7115156 34.105611)
,-39556,-117.71256001259,34.09864298196,POINT (-117.71256001259 34.09864298196)
,-39554,-117.71237298913,34.09864409492,POINT (-117.71237298913 34.09864409492)
,-39552,-117.71237700739,34.09888696172,POINT (-117.71237700739 34.09888696172)
,-39550,-117.71217976831,34.09888897405,POINT (-117.71217976831 34.09888897405)
,-39548,-117.71256141882,34.09888508027,POINT (-117.71256141882 34.09888508027)
,-39546,-117.71160320946,34.09774106598,POINT (-117.71160320946 34.09774106598)
,5257160067,-117.7113546,34.106355,POINT (-117.7113546 34.106355)
,-39544,-117.71161252697,34.09842394132,POINT (-117.71161252697 34.09842394132)
,-39542,-117.71255903546,34.09847475647,POINT (-117.71255903546 34.09847475647)
,5257160080,-117.7116403,34.1066992,POINT (-117.7116403 34.1066992)
,-39528,-117.71247222638,34.09773566154,POINT (-117.71247222638 34.09773566154)
,-39526,-117.71255473949,34.09773514839,POINT (-117.71255473949 34.09773514839)
,-39522,-117.71281018987,34.09780952563,POINT (-117.71281018987 34.09780952563)
,-39520,-117.71262772487,34.09799058184,POINT (-117.71262772487 34.09799058184)
,-39518,-117.71450400998,34.09842039455,POINT (-117.71450400998 34.09842039455)
,5257160094,-117.7116712,34.1062407,POINT (-117.7116712 34.1062407)
,5257160097,-117.7129174,34.1063765,POINT (-117.7129174 34.1063765)
,5257160098,-117.7129281,34.1058327,POINT (-117.7129281 34.1058327)
,-39510,-117.71470248833,34.09820821005,POINT (-117.71470248833 34.09820821005)
,5257160100,-117.7129214,34.1061118,POINT (-117.7129214 34.1061118)
,-39508,-117.71480122145,34.09821264879,POINT (-117.71480122145 34.09821264879)
,5257160101,-117.7131031,34.1061107,POINT (-117.7131031 34.1061107)
,-39506,-117.71072209015,34.09605373705,POINT (-117.71072209015 34.09605373705)
,-39500,-117.71094158059,34.09626349351,POINT (-117.71094158059 34.09626349351)
,-39498,-117.71076799374,34.09590603281,POINT (-117.71076799374 34.09590603281)
,-39490,-117.71096462765,34.09628585936,POINT (-117.71096462765 34.09628585936)
,-39460,-117.71344673984,34.09599812926,POINT (-117.71344673984 34.09599812926)
,-39452,-117.71344991767,34.0962059266,POINT (-117.71344991767 34.0962059266)
,5368522215,-117.7091816,34.1055627,POINT (-117.7091816 34.1055627)
,5368522214,-117.7091763,34.1059485,POINT (-117.7091763 34.1059485)
,5368522216,-117.7056252,34.1050402,POINT (-117.7056252 34.1050402)
,-39444,-117.71327758519,34.09611198939,POINT (-117.71327758519 34.09611198939)
,-39442,-117.71433398288,34.09592629511,POINT (-117.71433398288 34.09592629511)
,-39436,-117.71268618918,34.09524302544,POINT (-117.71268618918 34.09524302544)
,-39430,-117.71148131641,34.09654237799,POINT (-117.71148131641 34.09654237799)
,-39428,-117.71174736757,34.09654238516,POINT (-117.71174736757 34.09654238516)
,-39426,-117.71359608463,34.09646619647,POINT (-117.71359608463 34.09646619647)
,-39418,-117.71315302937,34.09645766102,POINT (-117.71315302937 34.09645766102)
,-39416,-117.71387634771,34.09643573376,POINT (-117.71387634771 34.09643573376)
,-39414,-117.71387776319,34.0965590254,POINT (-117.71387776319 34.0965590254)
,-39412,-117.7141419338,34.09651716749,POINT (-117.7141419338 34.09651716749)
,5258511885,-117.7093422,34.1040158,POINT (-117.7093422 34.1040158)
,-39410,-117.71414192007,34.09655680925,POINT (-117.71414192007 34.09655680925)
,-39408,-117.71399843662,34.09655801301,POINT (-117.71399843662 34.09655801301)
,5258511888,-117.7083806,34.1040724,POINT (-117.7083806 34.1040724)
,-39404,-117.71433500622,34.09651906344,POINT (-117.71433500622 34.09651906344)
,5258511891,-117.709056,34.1043789,POINT (-117.709056 34.1043789)
,-39402,-117.71433499213,34.09655518947,POINT (-117.71433499213 34.09655518947)
,5258511889,-117.70838,34.1041158,POINT (-117.70838 34.1041158)
,-39396,-117.71419018641,34.09611926049,POINT (-117.71419018641 34.09611926049)
,-39384,-117.71321739392,34.09576497928,POINT (-117.71321739392 34.09576497928)
,-39382,-117.71114033973,34.09761338178,POINT (-117.71114033973 34.09761338178)
,-39378,-117.71103054419,34.09677338156,POINT (-117.71103054419 34.09677338156)
,-39366,-117.71105468407,34.09653683242,POINT (-117.71105468407 34.09653683242)
,-39356,-117.71114048468,34.0948283297,POINT (-117.71114048468 34.0948283297)
,-39354,-117.71133364389,34.09762448833,POINT (-117.71133364389 34.09762448833)
,-39346,-117.71120220557,34.09676005486,POINT (-117.71120220557 34.09676005486)
,-39336,-117.71264255181,34.09671896421,POINT (-117.71264255181 34.09671896421)
,-39334,-117.71264122332,34.09762390826,POINT (-117.71264122332 34.09762390826)
,-39332,-117.71187804919,34.09565484921,POINT (-117.71187804919 34.09565484921)
,-39318,-117.71223754429,34.09645625587,POINT (-117.71223754429 34.09645625587)
,-39316,-117.71223961944,34.09649426396,POINT (-117.71223961944 34.09649426396)
,-39314,-117.71258756585,34.09644576582,POINT (-117.71258756585 34.09644576582)
