y_start,y_end,x_start,x_end,highway,oneway,edge_index,length
-117.7092997,-117.7093008,34.1029743,34.1030215,service,False,0,5.254778748556781
-117.7093008,-117.7093019,34.1030215,34.1030687,service,False,0,5.254778749384054
-117.7093019,-117.709303,34.1030687,34.103115900000006,service,False,0,5.254778749384054
-117.709303,-117.7093041,34.103115900000006,34.1031631,service,False,0,5.254778748556781
-117.7092997,-117.70929995,34.1029743,34.10292775,service,False,1,5.181089315308948
-117.70929995,-117.7093002,34.10292775,34.1028812,service,False,1,5.181089315308948
-117.7093002,-117.70930045,34.1028812,34.10283465,service,False,1,5.181089315308948
-117.70930045,-117.7093007,34.10283465,34.1027881,service,False,1,5.181089315308948
-117.7093007,-117.70930095,34.1027881,34.102741550000005,service,False,1,5.181089314518125
-117.70930095,-117.7093012,34.102741550000005,34.102695000000004,service,False,1,5.181089315308948
-117.7093012,-117.70930145,34.102695000000004,34.102648450000004,service,False,1,5.181089315308948
-117.70930145,-117.7093017,34.102648450000004,34.1026019,service,False,1,5.181089315308948
-117.7093017,-117.70934707916666,34.1026019,34.10260233541667,service,False,1,5.037320620469015
-117.70934707916666,-117.70939245833333,34.10260233541667,34.102602770833336,service,False,1,5.037320620469015
-117.70939245833333,-117.70943783749999,34.102602770833336,34.10260320625,service,False,1,5.037320620469015
-117.70943783749999,-117.70948321666667,34.10260320625,34.10260364166667,service,False,1,5.037320622046346
-117.70948321666667,-117.70952859583333,34.10260364166667,34.102604077083335,service,False,1,5.037320620469015
-117.70952859583333,-117.709573975,34.102604077083335,34.1026045125,service,False,1,5.037320620469015
-117.709573975,-117.70961935416666,34.1026045125,34.10260494791667,service,False,1,5.037320620469015
-117.70961935416666,-117.70966473333333,34.10260494791667,34.102605383333334,service,False,1,5.037320620469015
-117.70966473333333,-117.7097101125,34.102605383333334,34.10260581875,service,False,1,5.037320622046346
-117.7097101125,-117.70975549166667,34.10260581875,34.102606254166666,service,False,1,5.037320620469015
-117.70975549166667,-117.70980087083333,34.102606254166666,34.10260668958333,service,False,1,5.037320620469015
-117.70980087083333,-117.70984625,34.10260668958333,34.102607125000006,service,False,1,5.037320620476623
-117.70984625,-117.70989162916666,34.102607125000006,34.10260756041667,service,False,1,5.037320620469015
-117.70989162916666,-117.70993700833333,34.10260756041667,34.10260799583334,service,False,1,5.037320620469015
-117.70993700833333,-117.70998238749999,34.10260799583334,34.102608431250005,service,False,1,5.037320620469015
-117.70998238749999,-117.71002776666667,34.102608431250005,34.10260886666667,service,False,1,5.037320622046346
-117.71002776666667,-117.71007314583333,34.10260886666667,34.10260930208334,service,False,1,5.037320620469015
-117.71007314583333,-117.710118525,34.10260930208334,34.1026097375,service,False,1,5.037320620469015
-117.710118525,-117.71016390416666,34.1026097375,34.10261017291667,service,False,1,5.037320620469015
-117.71016390416666,-117.71020928333333,34.10261017291667,34.102610608333336,service,False,1,5.037320620469015
-117.71020928333333,-117.7102546625,34.102610608333336,34.10261104375,service,False,1,5.037320622046346
-117.7102546625,-117.71030004166667,34.10261104375,34.10261147916667,service,False,1,5.037320620469015
-117.71030004166667,-117.71034542083333,34.10261147916667,34.102611914583335,service,False,1,5.037320620469015
-117.71034542083333,-117.7103908,34.102611914583335,34.10261235,service,False,1,5.037320620469015
-117.7103908,-117.71043617916666,34.10261235,34.10261278541667,service,False,1,5.037320620469015
-117.71043617916666,-117.71048155833333,34.10261278541667,34.102613220833334,service,False,1,5.037320620469015
-117.71048155833333,-117.71052693749999,34.102613220833334,34.10261365625,service,False,1,5.037320620469015
-117.71052693749999,-117.71057231666667,34.10261365625,34.102614091666666,service,False,1,5.037320622046346
-117.71057231666667,-117.71061769583334,34.102614091666666,34.10261452708333,service,False,1,5.037320620469015
-117.71061769583334,-117.710663075,34.10261452708333,34.1026149625,service,False,1,5.037320620469015
-117.710663075,-117.71070845416666,34.1026149625,34.102615397916665,service,False,1,5.037320620469015
-117.71070845416666,-117.71075383333333,34.102615397916665,34.10261583333333,service,False,1,5.037320620469015
-117.71075383333333,-117.7107992125,34.10261583333333,34.10261626875,service,False,1,5.037320622046346
-117.7107992125,-117.71084459166667,34.10261626875,34.102616704166664,service,False,1,5.037320620469015
-117.71084459166667,-117.71088997083334,34.102616704166664,34.10261713958333,service,False,1,5.037320620469015
-117.71088997083334,-117.71093535,34.10261713958333,34.102617575,service,False,1,5.037320620469015
-117.71093535,-117.71098072916666,34.102617575,34.10261801041667,service,False,1,5.037320620476623
-117.71098072916666,-117.71102610833333,34.10261801041667,34.102618445833336,service,False,1,5.037320620469015
-117.71102610833333,-117.71107148749999,34.102618445833336,34.10261888125,service,False,1,5.037320620469015
-117.71107148749999,-117.71111686666667,34.10261888125,34.10261931666667,service,False,1,5.037320622046346
-117.71111686666667,-117.71116224583334,34.10261931666667,34.102619752083335,service,False,1,5.037320620469015
-117.71116224583334,-117.711207625,34.102619752083335,34.1026201875,service,False,1,5.037320620469015
-117.711207625,-117.71125300416666,34.1026201875,34.10262062291667,service,False,1,5.037320620469015
-117.71125300416666,-117.71129838333333,34.10262062291667,34.102621058333334,service,False,1,5.037320620469015
-117.71129838333333,-117.71134376250001,34.102621058333334,34.10262149375,service,False,1,5.037320622046346
-117.71134376250001,-117.71138914166667,34.10262149375,34.102621929166666,service,False,1,5.037320620469015
