y,x,elevation
-117.7030676,34.0987426,373.6152954101562
-117.7030888,34.0995394,376.1857604980469
-117.70311366666667,34.0987551,373.6497192382812
-117.7031166,34.1053609,397.2132263183594
-117.703135675,34.099540624999996,376.1462097167969
-117.70315973333334,34.0987676,373.552978515625
-117.70317192499999,34.105360075,397.0901794433594
-117.70318255000001,34.099541849999994,376.0817565917969
-117.7032058,34.0987801,373.5321350097656
-117.70322725,34.10535925,396.9710693359375
-117.703229425,34.099543075,376.0274963378906
-117.7032506952381,34.09879226666666,373.54833984375
-117.7032763,34.0995443,376.0073852539062
-117.7032786,34.1063716,401.8154296875
-117.703282575,34.105358425,396.9201965332031
-117.7032842,34.1063881,401.872802734375
-117.7032899,34.103384,389.0884704589844
-117.70329193076923,34.103335984615384,388.8265991210938
-117.70329396153846,34.10328796923077,388.642578125
-117.7032955904762,34.098804433333335,373.6677856445312
-117.70329599230769,34.103239953846156,388.4679565429688
-117.7032962,34.1063458,401.5654907226562
-117.70329802307693,34.103191938461535,388.2652893066406
-117.70330005384615,34.10314392307692,388.0896911621094
-117.70330208461539,34.10309590769231,387.9550170898438
-117.7033026,34.1046701,395.5828857421875
-117.70330411538461,34.10304789230769,387.8207397460938
-117.7033042,34.1063914,401.9039001464844
-117.70330614615385,34.10299987692308,387.6022338867188
-117.7033071,34.1047191,395.611328125
-117.70330817692307,34.102951861538465,387.4734802246094
-117.70331020769231,34.10290384615384,387.2785034179688
-117.70331223846154,34.10285583076923,387.1091918945312
-117.7033124,34.1051089,397.5177307128906
-117.7033138,34.1050622,397.8519592285156
-117.70331426923077,34.102807815384615,386.9454650878906
-117.7033163,34.1027598,386.7806701660156
-117.70331635,34.10343385,389.2294311523438
-117.7033173,34.1046191,395.5085754394531
-117.7033178,34.1047779,396.6058654785156
-117.7033178,34.1050034,398.0281982421875
-117.7033178,34.1051633,397.181396484375
-117.7033209,34.1063207,401.3973693847656
-117.703323175,34.099545524999996,375.9574890136719
-117.7033232,34.1049512,398.247314453125
-117.7033232,34.1052143,396.7404479980469
-117.7033233,34.1063749,401.7515869140625
-117.7033244,34.1012013,381.7555541992188
-117.7033245,34.1055131,397.6820068359375
-117.7033285,34.1048923,397.5874328613281
-117.7033299,34.1048379,397.1620483398438
-117.7033312,34.1054498,397.1998901367188
-117.7033312,34.1055708,398.0271911621094
-117.7033339,34.1052676,396.5056457519531
-117.7033379,34.1053209,396.6435852050781
-117.7033379,34.1053576,396.9630737304688
-117.7033379,34.1053809,397.1495056152344
-117.70334048571429,34.0988166,373.63623046875
-117.7033415,34.1045802,395.2368469238281
-117.7033424,34.106295,401.0481567382812
-117.7033428,34.1034837,389.4663391113281
-117.703348,34.1063663,401.6295471191406
-117.7033499,34.1062179,400.6499633789062
-117.7033527,34.105633,398.0104675292969
-117.7033635,34.1062553,400.8085021972656
-117.7033646875,34.1027601,386.8416137695312
-117.70337004999999,34.09954675,375.9324951171875
-117.703370675,34.101182625,381.6532897949219
-117.7033743,34.1062758,400.8753967285156
-117.7033781,34.1056785,398.2915649414062
-117.7033823,34.1063623,401.3707275390625
-117.70338538095238,34.098828766666664,373.6123352050781
-117.7033884,34.104568,395.0611572265625
-117.70339381428572,34.1034837,389.5267333984375
-117.7033991,34.1062871,401.3270568847656
-117.7034046,34.1064284,401.5339050292969
-117.7034054,34.1064079,401.3726806640625
-117.7034086,34.106363,401.1707763671875
-117.703413075,34.1027604,386.8971252441406
-117.703416925,34.099547975,375.9071655273438
-117.70341694999999,34.10116395,381.6105346679688
-117.7034174,34.1064389,401.65380859375
-117.703419,34.1063749,401.1853942871094
-117.7034222,34.1063914,401.3961181640625
-117.7034264,34.1057296,398.7702026367188
-117.7034294,34.1063069,401.0890808105469
-117.70343027619047,34.098840933333335,373.6516723632812
-117.703434,34.1045802,395.024658203125
-117.7034357,34.1064343,401.5616455078125
-117.7034363,34.1042156,394.825439453125
-117.70344482857143,34.1034837,389.5717468261719
-117.7034541,34.1064343,401.4470825195312
-117.7034614625,34.102760700000005,386.9854736328125
-117.703463225,34.101145275,381.49755859375
-117.7034638,34.0995492,375.83203125
-117.70346595000001,34.1057529,398.8404541015625
-117.70347517142858,34.0988531,373.6965637207031
-117.7034772,34.1064462,401.3379821777344
-117.703482,34.1063135,400.8865661621094
-117.70348398,34.10421592,395.7778930664062
-117.70349584285715,34.1034837,389.6178283691406
-117.7035011,34.106464,401.3684387207031
-117.7035055,34.1057762,399.2053833007812
-117.70350934285713,34.0995504,375.7866516113281
-117.7035095,34.1011266,381.4747314453125
-117.70350984999999,34.102761,387.0273742675781
-117.7035131,34.1045846,395.040283203125
-117.7035187,34.1064706,401.3795166015625
-117.70352006666667,34.098865266666664,373.7717590332031
-117.70353166000001,34.10421624000001,396.2479553222656
-117.7035354,34.1063089,400.8122863769531
-117.70354685714285,34.1034837,389.6476135253906
-117.7035474,34.1064706,401.2039489746094
-117.7035491,34.10579285,399.5517883300781
-117.7035535,34.1056247,398.5296325683594
-117.70355459999999,34.10112005,381.4413757324219
-117.70355488571428,34.0995516,375.7221984863281
-117.70355823749999,34.1027613,387.0651550292969
-117.70356297,34.10558044,398.4016723632812
-117.70356496190476,34.098877433333335,373.8168334960938
-117.7035694,34.1045902,394.9034118652344
-117.7035713,34.1064726,401.041259765625
-117.70357244,34.10553618,398.2158203125
-117.7035745,34.1062884,400.5132141113281
-117.70357934,34.104216560000005,396.1460266113281
-117.703581,34.1059366,399.5147705078125
-117.70358191,34.10549192,397.8880920410156
-117.70359138,34.10544766,397.5335693359375
-117.7035927,34.1058095,399.7566833496094
-117.7035942,34.1058967,399.9857788085938
-117.7035944,34.1064686,400.8117980957031
-117.70359787142857,34.1034837,389.66748046875
-117.7035997,34.101113500000004,381.3798217773438
-117.70360042857142,34.0995528,375.7195129394531
-117.70360085,34.1054034,397.6012573242188
-117.70360199999999,34.105633999999995,398.5076293945312
-117.703603,34.1048756,398.2425537109375
-117.70360662499999,34.1027616,387.1055603027344
-117.70360985714287,34.0988896,373.8339538574219
-117.70361032,34.10535914,397.2856750488281
-117.70361196666667,34.1057541,400.1113891601562
-117.703616,34.1062138,399.9293518066406
-117.7036164,34.1049133,398.408935546875
-117.7036167,34.1064594,400.769775390625
-117.7036191,34.1048445,398.1968688964844
-117.70361979,34.10531488,397.2380065917969
-117.7036207,34.1062587,400.1933288574219
-117.7036213,34.1058148,399.5091552734375
-117.7036231,34.1061742,399.8304138183594
-117.70362702,34.10421688,396.0491943359375
-117.70362926,34.10527062,398.8492736816406
-117.70363123333333,34.1056987,398.8210144042969
-117.70363873000001,34.10522636,399.145263671875
-117.7036431,34.1061372,399.6773071289062
-117.7036448,34.10110695,381.2637634277344
-117.7036455,34.1059497,399.1695861816406
-117.7036455,34.1064462,400.7016296386719
-117.7036459,34.1045902,394.7989501953125
-117.7036459,34.10495,398.54931640625
-117.70364597142857,34.099554,375.7369384765625
-117.7036482,34.1051821,398.92919921875
-117.7036486,34.1048201,398.1078186035156
-117.70364888571429,34.1034837,389.7131958007812
-117.7036505,34.1056433,398.5888977050781
-117.70365475238096,34.098901766666664,373.9198913574219
-117.7036550125,34.102761900000004,387.1452026367188
-117.7036622,34.1064356,400.6458740234375
-117.7036734,34.1062501,399.9411010742188
-117.70367470000001,34.1042172,395.748779296875
-117.7036885,34.1060982,399.4552612304688
-117.7036888,34.1049566,398.5591125488281
-117.7036899,34.1011004,381.2059326171875
-117.7036901,34.1048145,398.3298645019531
-117.7036901,34.1059701,398.9463195800781
-117.70369151428571,34.0995552,375.70361328125
-117.7036946,34.1058284,399.098388671875
-117.7036973,34.1064257,400.5409851074219
-117.70369964761905,34.098913933333336,373.953857421875
-117.7036999,34.1034837,389.7705078125
-117.70370011875,34.103438606249995,389.5317993164062
-117.70370033750001,34.1033935125,389.4095153808594
-117.70370055625,34.10334841875,389.2776489257812
-117.703700775,34.103303325,389.0957641601562
-117.70370099375,34.103258231249995,388.9205627441406
-117.7037012125,34.1032131375,388.758056640625
-117.70370143125,34.10316804375,388.5793151855469
-117.70370165,34.10312295,388.4033813476562
-117.70370186875,34.103077856249996,388.2644653320312
-117.7037020875,34.1030327625,388.0957336425781
-117.70370230625,34.10298766875,387.959716796875
-117.703702525,34.102942575,387.8184509277344
-117.70370274375,34.10289748125,387.6419067382812
-117.70370296249999,34.1028523875,387.4689025878906
-117.70370318124999,34.102807293750004,387.3021240234375
-117.7037034,34.1027622,387.1390380859375
-117.70370366666667,34.102704700000004,386.9722595214844
-117.7037037,34.1060745,399.3687744140625
-117.70370393333333,34.1026472,386.673828125
-117.7037042,34.1025897,386.4229125976562
-117.7037047,34.1051493,398.8951721191406
-117.7037102,34.1025076,386.2944641113281
-117.7037116,34.1060375,399.4020690917969
-117.703718,34.1064218,400.4520874023438
-117.703722,34.1059972,399.1683959960938
-117.70372238,34.104217520000006,395.1754150390625
-117.703729,34.1045902,394.8184204101562
-117.703729,34.1048156,398.5892333984375
-117.7037332,34.1062329,399.6848449707031
-117.7037344,34.1049489,398.5502014160156
-117.703735,34.101093850000005,381.1427001953125
-117.70373705714286,34.0995564,375.6665649414062
-117.7037375,34.105625,398.4761352539062
-117.70373888,34.10476914,398.5347290039062
-117.7037432,34.1059789,398.9512023925781
-117.70374454285714,34.0989261,373.9886474609375
-117.703746925,34.103482487499996,389.765380859375
-117.70374876,34.10472268,397.7875061035156
-117.70374963750001,34.10259040625,386.4556274414062
-117.70374991428571,34.10276254285714,387.1981811523438
-117.7037516,34.10582565,398.7164306640625
-117.703755925,34.10250855625,386.3034362792969
-117.7037581,34.1003549,378.5694580078125
-117.7037581,34.1004138,378.8281555175781
-117.7037581,34.1004727,378.9351806640625
-117.7037585,34.1049333,398.6309204101562
-117.70375864,34.10467622,397.4491882324219
-117.703759175,34.1049791,398.6365966796875
-117.70375985000001,34.105024900000004,398.75732421875
-117.703760525,34.1050707,398.7466735839844
-117.7037611,34.1064455,400.2342529296875
-117.7037612,34.1051165,398.7770080566406
-117.7037639,34.1048345,398.71923828125
-117.703764625,34.100302475,378.3096008300781
-117.7037666,34.1059634,398.8336791992188
-117.70376852,34.10462976,396.2066650390625
-117.703769925,34.100523775,379.0256958007812
-117.70377006,34.104217840000004,394.667724609375
-117.70377115,34.10025005,378.0166931152344
-117.703777675,34.100197625,377.6630249023438
-117.7037784,34.1045833,394.6725769042969
-117.7037801,34.1010873,380.9999694824219
