y_start,y_end,x_start,x_end,highway,oneway,edge_index
-117.7050897,-117.7050964,34.102624,34.1029912,footway,False,31
-117.7045057,-117.7048755,34.1029905,34.1029912,footway,False,32
-117.7071383,-117.7071375,34.10151,34.1017789,footway,False,33
-117.7071383,-117.70714,34.10151,34.100846,footway,False,34
-117.7071383,-117.7067353,34.10151,34.1018878,footway,False,35
-117.7067353,-117.706699,34.1018878,34.101865,footway,False,35
-117.706699,-117.7066602,34.101865,34.1018472,footway,False,35
-117.7066602,-117.7066152,34.1018472,34.101835,footway,False,35
-117.7066152,-117.7065663,34.101835,34.1018306,footway,False,35
-117.7065663,-117.7065193,34.1018306,34.1018278,footway,False,35
-117.7065193,-117.7064637,34.1018278,34.101835,footway,False,35
-117.7064637,-117.706406,34.101835,34.1018456,footway,False,35
-117.706406,-117.7063638,34.1018456,34.1018689,footway,False,35
-117.7063638,-117.7063155,34.1018689,34.1019061,footway,False,35
-117.7063155,-117.7063059,34.1019061,34.1019143,footway,False,35
-117.7048812,-117.704964,34.1048265,34.1048276,footway,False,36
-117.7048812,-117.7048591,34.1048265,34.1048598,footway,False,37
-117.7048591,-117.7048544,34.1048598,34.1048754,footway,False,37
-117.7048544,-117.7049134,34.1048754,34.1049429,footway,False,37
-117.7048812,-117.7048799,34.1048265,34.104791,footway,False,38
-117.7048799,-117.7048691,34.104791,34.104739,footway,False,38
-117.7048691,-117.7048536,34.104739,34.1047085,footway,False,38
-117.7048536,-117.7048355,34.1047085,34.1046813,footway,False,38
-117.7048355,-117.7048067,34.1046813,34.1046557,footway,False,38
-117.7048067,-117.7047926,34.1046557,34.1046363,footway,False,38
-117.7047926,-117.7047671,34.1046363,34.1046241,footway,False,38
-117.7047671,-117.7047356,34.1046241,34.1046191,footway,False,38
-117.7049134,-117.7049625,34.1049429,34.1049429,footway,False,39
-117.7049134,-117.7047351,34.1049429,34.1049431,footway,False,40
-117.7049134,-117.7048544,34.1049429,34.1048754,footway,False,41
-117.7048544,-117.7048591,34.1048754,34.1048598,footway,False,41
-117.7048591,-117.7048812,34.1048598,34.1048265,footway,False,41
-117.704964,-117.7049625,34.1048276,34.1049429,footway,False,42
-117.704964,-117.7048812,34.1048276,34.1048265,footway,False,43
-117.704964,-117.7049659,34.1048276,34.1046828,footway,False,44
-117.7049659,-117.7049156,34.1046828,34.1046822,footway,False,44
-117.7049156,-117.7049179,34.1046822,34.1046313,footway,False,44
-117.7049179,-117.7049156,34.1046313,34.1044681,footway,False,44
-117.7093173,-117.7093173,34.1064551,34.1065603,service,False,45
-117.7061002,-117.7062397,34.1020571,34.1020605,footway,False,46
